id,name,status,score,display_name,formatted_address,city,region,lat,lng,place_id,types,error,generated_update
1f3e6ebe-2be1-4614-82f1-e2f837b3d3d7,Guzara Royal Castle Ruins,candidate,0.45,Guzara Castle ጉዛራ ቤተ መንግስት,"6JMP+Q27, Emfraz",Emfraz,Amhara,12.2344061,37.6350403,ChIJ2aEPz3ZDQxYRMERve1O3kSs,castle|historical_place|point_of_interest|establishment,,False
1f69a209-ecd9-4cd9-9188-57c315e4f2be,Abuna Aregawi Shrine,candidate,0.3,Lamberet Abune Aregawi Church | ላምበረት አቡነ አረጋዊ ቤተክርስቲያን,"2RG6+9VH Lamberet, Addis Ababa",Yeka,Addis Ababa,9.0259467,38.812221699999995,ChIJW5-r76mFSxYRrEk2Zsr6nfc,church|place_of_worship|association_or_organization|point_of_interest|establishment,,False
1fafd623-6c4d-41bb-a79b-8b5bd35127d9,Abebech Gobena Mothers & Children Hospital,candidate,0.54,Abebech Gobena MCH Hospital,"2VHR+85X, Addis Ababa",Bole,Addis Ababa,9.0215981,38.8898994,ChIJbcuR09aRSxYR3sKvU41cjlE,hospital|health|point_of_interest|service|establishment,,False
1ff14e7b-bfb6-444f-9af4-b1073a2631d3,Awi Agew Rural Homesteads,no_match,,,,,,,,,,,False
200f2932-52b1-430f-87fa-ef56ba6bee1d,Lake Ziway Bird Sanctuary (Pelicans & Fish Eagles),candidate,0.257,Ziway Lake,Ziway Lake,,Oromia,8.0073084,38.8414602,ChIJf7yRT26XtBcRoDxGiSi2aew,lake|natural_feature|establishment,,False
2022c34b-b7e3-4236-81e3-d04af7a3d038,Gumuz Tribal Communities,candidate,0.3,Benishangul-Gumuz,Benishangul-Gumuz,,Benishangul-Gumuz,10.7802889,35.5657862,ChIJ3eG2bPvjVhYRlKD4EoZwQ6g,administrative_area_level_1|political,,False
207de875-a9dc-412b-8054-964c5edc08b7,Bale Harenna Cloud Forest Moss & Fern Canopy,candidate,0.129,Bale Mountains National Park,"VPPM+8PG, Rira",Rira,,6.8858193,39.734338,ChIJFzr6JsI4thcR7BzEfxBOjjk,national_park|tourist_attraction|park|point_of_interest|establishment,,False
20833650-32b4-4b1e-8aab-7d9b3fb8e27c,Mekelle Tigray Stadium,candidate,0.6,Tigray Stadium,"FFW4+CRM, Mekele",Mekele,Tigray,13.4960787,39.4570393,ChIJM-H_O239ahYRB5NgJgaqVrM,stadium|sports_complex|event_venue|sports_activity_location|point_of_interest|establishment,,True
21432d95-30dd-40e4-9388-ee6133851758,Planet Hotel Conference Center,candidate,0.6,ሆቴል ፕላኔት መቐለ / Planet Hotel Meqelle,"FFW6+H99, Mekele",Mekele,Tigray,13.4964142,39.460983299999995,ChIJtY71VWv9ahYRhAzU5oMGLM4,hotel|lodging|point_of_interest|establishment,,True
21d9b8a0-7f58-4f22-96b8-78e242ae990c,Arsi Highlands Cattle & Grain Farms,no_match,,,,,,,,,,,False
220cc188-0798-45da-a7d9-80c1885886e2,Jamia Grand Mosque of Harar,candidate,0.615,Grand Jami Mosque,"10 Amir Uga St, Harar",Jegol,Harar,9.3109748,42.138774399999996,ChIJb--uOMe9MRYRV2ICw2-_qUc,mosque|place_of_worship|association_or_organization|point_of_interest|establishment,,True
2272a61f-9359-4e0c-a986-2026a826d363,Blue Nile Gorge Ferry Crossing Points,candidate,0.3,Blue Nile River Bridge አባይ ድልድይ,"35GR+8JM, Dejen",Dejen,Oromia,10.0758359,38.191536299999996,ChIJTV36jwTjThYRMC6fBn8tgXw,bridge|transportation_service|point_of_interest|establishment,,False
